PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY
5ASV-261400-6S00,IN,0,RH LOCK HOOK ASSY,ENSAMBLE DE HEBILLA SUJETADORA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.205,Y,N,0,25181604,,,,,,
940010-08384,A1,Equipo,CUP,TARJETA DE CONTROL,PZA,PZA,8542310399,85423103,99,0,,,,NO RRNA,0,0.2,Y,N,0,32131010,,,,,,
601401-00151,A1,Equipo,screwdriver head,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,25174800,,,,,,
5SYV-807800-8300-0BT00,IN,,,PUERTA,,PZA,8708291900,87082919,0,0,,,,NO RRNA,0,0,Y,N,,25171700,,,,,,
5HYV-050210-6000A,IN,0,FRONT LOWER LH SWING ARM ASSY,BRAZO DE LA SUSPENSION,PZA,PZA,8708800700,87088007,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,4.5,Y,N,0,25172000,,,,,,
5SYV-136100-8000,IN,KD,RH SEAT BACK PLATE,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.4,Y,N,0,25181604,,,,,,
7020-211002,IN,0,PROTECTIVE PAD,HOJA PLASTICA PARA PROTECCION,PZA,KG,3921199101,39211991,1,0,,,,NO RRNA,0,0.009,Y,N,0,30265802,,,,,,
5BYV-031100-600A-H1M,IN,0,Front left bottom beam connecting tube assembly,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.687,Y,N,0,25181604,,,,,,
5ASV-031860-5100-H1M,IN,KD,Front shock absorber installation component,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.002,Y,N,0,25181604,,,,,,
5HY0-031050-0MP0M,IN,0,CONTAINER RIGHT HOOK ASSEMBLY,ENSAMBLE GANCHO DERECHO DE LA CAJA DE CARGA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.292,Y,N,0,25181600,,,,,,
0010-021017-0010,IN,0,BOLT M6x25,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,,,0.008,Y,N,0,31161500,,,,,,
5BYV-190109-8500-11,IN,0,Decal,CALCOMANIAS DECORATIVAS PARA VEHICULOS,PZA,KG,4908909902,49089099,2,35,0,1931R825050528,CALCOMANIA PARA CUBIERTA  CALCOMANIA  CALCOMANIAS DECORATIVAS PARA VEHICULOS  CALCOMANIA DECORATIVA  CALCOMANIAS/CALCOMANIA DECORATIVA PARA VEHICULO  ETIQUETA  CALCOMANIAS PARA VEHICULOS 4908909902,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.007,Y,N,0,55121600,,,,,,
5HY0-031453-0MP0M,IN,0,RIGHT SIDE CLADDING STIFFENING PLATE,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (PLACA DE REFUERZO EN ESQUINAS),PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.063,Y,N,0,25181600,,,,,,
5HYV-150100-6003,IN,KD,MAIN CABLE,ARNES PARA USO AUTOMOTRIZ,PZA,PZA,8544309901,85443099,1,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,1931R825050647,ARNES PARA USO AUTOMOTRIZ ARNES ARNES ELECTRICO ARNES DE CABLES 8544309901,0,0,3.4,Y,N,0,26101700,,,,,,
5HYV-041023-6000,IN,0,FRONT RH POSITION LIGHT BRACKET,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.08,Y,N,0,25181604,,,,,,
30301-080412,IN,0,WASHER,ARANDELA DE ACERO,PZA,KG,7318229199,73182291,99,35,,1931R825050385,ARANDELA DE ACERO 7318229199,,,0.12,Y,N,0,31161800,,,,,,
0NYV-011020-1000,IN,KD,Mileage sensor,SENSOR PARA CUENTAKILOMETROS,PZA,PZA,9026900100,90269001,0,0,,,,,,0.04,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5ASV-360003-6000,IN,KD,FUEL VAPOR DESORPTION HOSE 2,MANGUERA DE CAUCHO,PZA,KG,4009310602,40093106,2,0,,,,,,0.06,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-031000-6002-0BP00,IN,KD,FRAME ASSY,CHASIS,PZA,PZA,8708990700,87089907,0,5,Ex. ,,,NO RRNA,0,118.667,Y,N,0,25181600,,,,,,
5ASV-802063-6000,IN,0,LH SKID PLATE,PLACA PROTECTORA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.105,Y,N,0,25181604,,,,,,
5HYV-131200-6001-22,IN,KD,Seat Base Plate,PARTE PARA ASIENTO,PZA,PZA,9401200100,94012001,1,0,,,,,,1,Y,N,CF SALE MXHTS2025050082,25174400,,,,,,
601601-00973,A1,Equipo,Drill Bit 9.7,BROCA,PZA,PZA,8207500703,82075007,3,35,,,,,,0.05,Y,N,0,25174800,,,,,,
5HY0-031355-0MP0M,IN,0,DRIVING SEAT CUSHION RUBBER BAFFLE a...,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (ASIENTO CONDUCTOR - BISEL I),PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.167,Y,N,0,25181600,,,,,,
5HY1-237000-030-002-Z,A1,HerramietasDeTrabajo,Welding Tool No.2 for Rear Roof Rail Welding Assembly,CALIBRE DE CONTROL,PZA,PZA,9031809999,90318099,99,0,,,,,,822,Y,N,CF SALE MXHTS2025050032,25174800,,,,,,
5SYV-044042-6002-11,IN,0,RH UPPER PANEL FRONT SEAT,PANEL SUPERIOR DELANTERO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.2,Y,N,0,25181604,,,,,,
940010-09460,A1,Equipo,Stainless Steel Straight Handle Brush,CEPILLO PARA LIMPIEZA DE SUPERFICIES,PZA,PZA,9603909900,96039099,0,15,Ex.,,,NOM-050-SCFI-2004,,0.2,Y,N,CF SALE MXHTS2025110007,,Stainless Steelc Y a,Stainless Steel,Stainless steel,c a a1 2 a e,Clean the workbench,four wheeler
940010-08604,A1,Equipo,Motor reducer,MOTOR,PZA,PZA,8501529902,85015299,2,0,,,,NOM-016-ENER-2016,Can be imported,67.356,Y,N,0,26101900,,,,,,
940010-08261,A1,Equipo,Relay head,RELE,PZA,PZA,8536499999,85364999,99,0,,,,NO RRNA,0,0.7,Y,N,0,39122325,,,,,,
5HY1-235000-030-001-Z,A1,HerramietasDeTrabajo,Welding Tool for Front Right Roof Rail Welding Assembly,CALIBRE DE CONTROL,PZA,PZA,9031809999,90318099,99,0,,,,,,803,Y,N,CF SALE MXHTS2025050032,25174800,,,,,,
601601-00433,A1,Equipo,M5  Tap,MACHUELO,PZA,PZA,8207400401,82074004,1,0,,,,0,0,0.034,Y,N,0,27112806,,,,,,
5KWV-060610-1000,IN,0,REAR SWAY BAR ASSY,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.421,Y,N,0,25181604,,,,,,
5HY0-002003,IN,0,AIR OUTLET PIPE CVT,TUBO DE CAUCHO SIN REFORZAR,PZA,KG,4009110200,40091102,0,0,,,,NO RRNA,0,0.26,Y,N,0,13101600,,,,,,
5BWV-031434-5001-H1M,IN,0,Driver s seat front support tube assembly,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.41,Y,N,0,25181604,,,,,,
5BWV-043081-1200,IN,KD,DASHBOARD GUARD,PROTECCION DE TABLERO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.082,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-031031-6000-H1M,IN,KD,Left diagonal stay tube of cargo box.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.605,Y,N,0,25181604,,,,,,
JXMF-MX-0204,A1,HerramietasDeTrabajo,Flathead Screwdriver 3.2x75,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,PZA,8205409900,82054099,0,15,Ex. ,,,NOM-050-SCFI-2004,,0.5,Y,N,CF SALE MXHTS2025070027,25174800,,,,,,
5BWV-031680-5001-H1M,IN,0,Right bottom beam square tube combination,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.687,Y,N,0,25181604,,,,,,
5BYV-042044-6000,IN,0,REAR CUP HOLDER BUSHING,PORTAVASOS,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.176,Y,N,0,25181604,,,,,,
5HYV-043044-1000,IN,0,FRONT INNER FENDER,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.2,Y,N,0,25181600,,,,,,
601601-00929,A1,Equipo,Lathe External Diameter Cutting Tool Holder Positive Blade,UTIL DE TORNEADO,PZA,PZA,8207800100,82078001,0,35,,,,,,0.27,Y,N,0,25174800,,,,,,
5HYV-182530-6001,IN,KD,CONNECTING TUBE 4,TUBO DE CONEXION,PZA,PZA,8708999999,87089999,99,0,,,,,,0.044,Y,N,0,25174800,,,,,,
5HY1-20250617-004-Z,A1,Equipo,PCB borad,TARJETA CIRCUITO DE CONTROL,PZA,PZA,8542399999,85423999,99,0,,,,,,0.5,Y,N,CF SALE MXHTS2025060027,25174800,,,,,,
5SYV-044042-8002,IN,KD,FRONT ROW UPPER RH PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.256,Y,N,0,25181604,,,,,,
JXMF-MX-0146,A1,Equipo,reducing tee DN50x40,CONECTOR,PZA,KG,7307999902,73079999,2,0,,,,,It has a diameter greater than 5 cm and a length equal to or less than 30 cm steel prior permission not applicable,0.6,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5SYV-031872-6000-H1M,IN,0,RIGHT SEAT BELT MOUNTING PLATE,PLACA DE MONTAJE DEL ARNES DERECHO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.272,Y,N,0,23153400,,,,,,
5ASV-450210-5001,IN,KD,UPPER LIMIT BRACKET ASSY II,ABRAZADERA DE ACERO,PZA,PZA,7326909903,73269099,3,35,,1931R825050550,ABRAZADERA DE ACERO CLIP DE FIJACION 7326909903,,,0.169,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
940010-08343,A1,Equipo,BW reducer,MOTOR,PZA,PZA,8501529902,85015299,2,0,,,,NOM-016-ENER-2016,Can be imported,5,Y,N,0,26101900,,,,,,
940010-08178,A1,Equipo,CPU 1515-2PN Central Processing Unit Module,CONTROLADOR PROGRAMABLE,PZA,PZA,8537109999,85371099,99,0,,,,NO RRNA,0,0.596,Y,N,0,32151707,,,,,,
5BWV-031416-5001-H1M,IN,0,Center bottom beam right front reinforcing tube assembly,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.366,Y,N,0,25181604,,,,,,
5HY1-001001-39-Z,A1,HerramietasDeTrabajo,Dual-row ceiling pick-up fixture,DISPOSITIVO DE SUJECION (FIXTURE),PZA,PZA,8479899999,84798999,99,0,,,,,,10.4,Y,N,CF SALE MXHTS2025040014,25174800,,,,,,
940010-13577,A1,Equipo,CYLINDER,CILINDRO NEUMATICO,PZA,PZA,8412319900,84123199,0,0,,,,,,1623,Y,N,CF SALE MXHTS2025110066,,c1 4,Aluminum alloy,ALLOY,The pressure energy of compressed gas is converted into mechanical energy,CYLINDERS ARE CORE PNEUMATIC ACTUATORS THAT CONVERT THE PRESSURE ENERGY OF COMPRESSED AIR INTO MECHANICAL ENERGY MAINLY REALIZING LINEAR RECIPROCATING MOTION OR OSCILLATING MOTION TO DRIVE INDUSTRIAL EQUIPMENT,four wheeler
TFQ020,IN,0,Sandpaper-400# Horse Brand,ABRASIVO EN SOPORTE DE PAPEL (LIJAS),PZA,KG,4823909999,48239099,99,5,0,1931R825034679,MANUFACTURA DE CARTON 4823909999 PAPEL PARA LIJA 4823909999,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0,Y,N,0,40142000,,,,,,
5SYV-230600-6003-0BP00,IN,0,MIDDLE CAB ASSY,ELEVADOR DELANTERO I,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,17.2,Y,N,0,25181604,,,,,,
5HY0-031040-0MP0M,IN,0,CONTAINER LEFT HOOK ASSEMBLY,ENSAMBLE GANCHO IZQUIERDO DE LA CAJA DE CARGA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.292,Y,N,0,25181600,,,,,,
601401-00662,A1,Equipo,adaptor,ADAPTADOR,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.4,Y,N,CF SALE MXHTS2025020017,25174800,,,,,,
5BWV-230107-5000-H1M,IN,KD,Left Reinforcement Plate of Front Top Bar,PARTE PARA CARROCERIA,PZA,PZA,7326909999,73269099,99,35,,1931R825050612,CINCHO METALICO  SOPORTE METALICO  TAPA  GANCHO FRONTAL  EMBALAJE DE ACERO  MANUFACTURA DE METAL  SUJETADORES DE ACERO  PLACA DE IDENTIFICACION DEL VEHICULO  BLOQUE DE ACERO  MANUFACTURA DE ACERO  PARTE DEL EMBALAJE  CUBIERTA  GANCHO DE ACERO 7326909999,NOM-050-SCFI-2004,,0.165,Y,N,CF SALE MXHTS2025060021,25174800,,,,,,
5HY1-860-003,A1,HerramietasDeTrabajo,Air conditioning bracket inspection tool.,INSTRUMENTO DE INSPECCION,PZA,PZA,9031809999,90318099,99,0,,,,NO RRNA,0,8,Y,N,0,25191838,,,,,,
5HYV-190026-6000,IN,0,PLUG PATCH 1,PLACA ADHESIVA,PZA,KG,4016999999,40169999,99,0,,,,,,0.001,Y,N,0,25174800,,,,,,
5SYV-135100-8001-22-H1,IN,KD,Right side installation bracket,HERRAJE PARA VEHICULO,PZA,PZA,8302309100,83023091,0,15,Ex. ,,,,,1,Y,N,CF SALE MXHTS2025050082,25174800,,,,,,
5BWV-042023-5001,IN,0,LH SIDE PANEL,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,1.786,Y,N,0,25181600,,,,,,
5HYV-190025-6000,IN,0,SOCKET LABEL,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,,,0.001,Y,N,0,55121606,,,,,,
940010-08028,A1,Equipo,Mechanical Seal for Water Pump,SELLO MECANICO PARA BOMBA DE AGUA,PZA,PZA,8484200100,84842001,0,0,,,,NOM-050-SCFI-2004,,0.021,Y,N,CF SALE MXHTS2025050026,25174800,,,,,,
5BYV-031800-600A-H1M,IN,0,Rear right bottom beam connecting tube assembly,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.687,Y,N,0,25181604,,,,,,
5HYV-160220-6000,IN,0,RH TAIL LIGHT ASSY,CALAVERA,PZA,PZA,8512200200,85122002,0,0,,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.45,Y,N,0,13101600,,,,,,
5KWV-360001-2000,IN,KD,FUEL VAPOR ADSORPTION HOSE 1,MANGUERA,PZA,KG,4009110200,40091102,0,0,,,,,,0.031,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-222080-6001,IN,KD,HUDRAULIC LIFT,SISTEMA HIDRAHULICO,PZA,PZA,8412299900,84122999,0,0,,,,NO RRNA,,5.872,Y,N,0,31161500,,,,,,
9AWV-180004-8000,IN,0,NYLON BRACKET,SUJETADOR,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.007,Y,N,0,25181604,,,,,,
5FYV-372103-3500-H1,IN,KD,Front Left Door Front and Rear Market Bracket Assembly,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex.,,,,,0.068,Y,N,CF SALE MXHTS2025120006,25181604,a a e a a Za a o z c a,Steel,Steel,Welded parts that make up the car door,Welded parts that make up a car door,four wheeler
5HYV-807100-9001-0RE00,IN,KD,Left Front Door Assembly,CONJUNTO DE PANEL Y MOLDURA PARA PUERTA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,30,Y,N,CF SALE MXHTS2025060030,25172200,,,,,,
5SYV-235010-8000-H1M,IN,KD,Right Front Top Bar Bend Pipe Assembly,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,6.024,Y,N,CF SALE MXHTS2025050073,25181604,,,,,,
5KWV-032600-1000-H1M,IN,KD,Front axle installation bracket,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.87,Y,N,0,25181604,,,,,,
JXMF-MX-0194,A1,Equipo,Heating coil 42x35,DISPOSITIVO DE CALENTAMIENTO,PZA,PZA,8516800499,85168004,99,0,,,,NOM-024-SCFI-2013,,0.1,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5HYV-050201-6000,IN,0,FRONT LH SWING ARM GUARD,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.127,Y,N,0,25181604,,,,,,
940010-08409,A1,Equipo,Travel switch,INTERRUPTOR,PZA,PZA,8536509901,85365099,1,0,,,,NOM-003-SCFI-2014,Can be imported,1,Y,N,0,39122205,,,,,,
5ASV-0701AM-Z001,IN,KD,FRONT WHEEL ASSY,RIN CON NEUMATICO,PZA,PZA,8708709999,87087099,99,0,,,,NOM-086-1-SCFI-2020 // NOM-086-SCFI-2018 // NOM-050-SCFI-2004,,15.6,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HY#0700AC-1000,IN,,,RIN CON NEUMATICO,,PZA,8708709999,87087099,99,0,,,,NOM-086-1-SCFI-2020 // NOM-086-SCFI-2018 // NOM-050-SCFI-2004,,0,Y,N,,25172500,,,,,,
5SYV-050801-6000A,IN,0,"STEERING KNUCKLE,RH,ASSY",NUDILLO DE DIRECCION,PZA,KG,8708941291,87089412,91,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,2.8,Y,N,0,25181604,,,,,,
5ASV-100020-6200,IN,0,GAS SPRING ASSY,CILINDRO DE MOVIMIENTO RECTILINEO,PZA,PZA,8412319900,84123199,0,0,,,,NO RRNA,0,0.49,Y,N,0,27131701,,,,,,
30006-102080110,IN,0,BOLT,PERNOS ROSCADOS DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,,,0.006,Y,N,0,31161500,,,,,,
5BYV-806114-1000,IN,0,PLUG,TAPON,PZA,KG,4016999999,40169999,99,0,,,,NO RRNA,0,0.005,Y,N,0,24122004,,,,,,
5KWV-150100-1001,IN,0,MAIN CABLE,ARNES PARA USO AUTOMOTRIZ,PZA,PZA,8544309901,85443099,1,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,1931R825050647,ARNES PARA USO AUTOMOTRIZ ARNES ARNES ELECTRICO ARNES DE CABLES 8544309901,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,5.8,Y,N,0,26101700,,,,,,
5FY0-001001-087-Z,A1,HerramietasDeTrabajo,Right Rear Door Trim Panel Pick-up Fixture,APARATO DE SUJECCION,PZA,PZA,8479899999,84798999,99,0,,,,NOM-050-SCFI-2004 NOM-024-SCFI-2013,,10.3,Y,N,CF SALE MXHTS2025110031,,a a Ze e e a a 2 a,aluminumaz e iron c e,Aluminum profiles Cast iron Silicone rubber,c aoZe aaS a c Yao a ao a,Used for automated production to retrieve products,four wheeler
5BY0-080010,IN,0,FIXED BRACKET FOOT PEDAL,SOPORTE DE PEDAL,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.659,Y,N,0,25181604,,,,,,
5SYV-807300-8300-0BT00,IN,,,PUERTA,,PZA,8708291900,87082919,0,0,,,,NO RRNA,0,0,Y,N,,25171700,,,,,,
6100-030006,IN,0,GASKET ADJUST HOLE,CUBIERTA DE CAUCHO,PZA,KG,4016990100,40169901,0,5,Ex. ,,,NO RRNA,0,0.1,Y,N,0,25181604,,,,,,
Q890-310002,IN,KD,Front axle cabinet cover,PARTE DEL EJE,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,NOM-050-SCFI-2004,,0.571,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5HY1-030-011-250517JG-Z,A1,HerramietasDeTrabajo,5HY1 Assembly Combination Repair Welding and Compaction,SUJETADORES PARA MAQUINA SOLDADORA,PZA,PZA,8205709999,82057099,99,15,Ex. ,,,NOM-050-SCFI-2004,,78,Y,N,CF SALE MXHTS2025050085,25174800,,,,,,
5KWV-031020-1001-H1M,IN,KD,Left longitudinal beam welding component,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,6.543,Y,N,0,25181604,,,,,,
5HY0-031333-0MP0M,IN,0,SILENCER MOUNTING PLATE,PLACA DE MONTAJE DEL SILENCIADOR,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.217,Y,N,0,25181604,,,,,,
5ASV-042031-6000,IN,KD,LH SERVICE COVER,TAPA IZQUIERDA DE MANTENIMIENTO DE PLASTICO,PZA,KG,3926909906,39269099,6,0,,,,NOM-050-SCFI-2004,,0.05,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-031458-6000-H1M,IN,KD,Left - side mounting bracket of front right suspension.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.123,Y,N,0,25181604,,,,,,
30303-060900,IN,0,WASHER,ARANDELA DE ACERO,PZA,KG,7318229199,73182291,99,35,,1931R825050385,ARANDELA DE ACERO 7318229199,,,0.1,Y,N,0,31161800,,,,,,
5BYV-11Z0AB-1600,IN,KD,REAR WHEEL ASSY,RIN CON NEUMATICO,PZA,PZA,8708709999,87087099,99,0,,,,NOM-086-1-SCFI-2020 // NOM-086-SCFI-2018 // NOM-050-SCFI-2004,,18,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5BYV-260212-6000,IN,0,REAR CAB,TOLDO,PZA,PZA,8708291600,87082916,0,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,5.842,Y,N,0,25181604,,,,,,
5HYV-032030-6000-H1M,IN,KD,Front left suspension mounting bracket assembly.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.708,Y,N,0,25181604,,,,,,
5KWV-046020-1001,IN,0,REAR UPPER RH PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.206,Y,N,0,25181604,,,,,,
5HY0-031357-0MP0M,IN,0,FUEL TANK FIXED WIRE,ALAMBRE DE FIJACION DEL TANQUE DE COMBUSTIBLE,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.013,Y,N,0,25181604,,,,,,
940010-10059,A1,Equipo,Diaphragm pump,BOMBA DE DIAFRAGMA PARA LIQUIDOS,PZA,PZA,8413819900,84138199,0,0,,,,"NOM-004-ENER-2014 // unicamente: Para bombeo de agua limpia de uso domestico en potencias de 0,180",,5,Y,N,CF SALE MXHTS2025110007,,es e 3,plastici1 4 Stainless Steel,Plastic stainless steel,e3 4 e 21 1 4,Conveying paint,four wheeler
30102-080045810,IN,0,INNER HEX SCREW M8x45,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159999,73181599,99,35,,1931R825050602,PERNO PERNO M10X35 PERNOS ROSCADOS 7318159999,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.18,Y,N,0,27112100,,,,,,
5ASV-002010-6000,IN,KD,CVT AIR INLET SNORKEL ASSY,MANUFACTURAS DE PLASTICO DE USO AUTOMOTRIZ,PZA,KG,3926909906,39269099,6,0,,,,NOM-050-SCFI-2004,,0.727,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HYV-150133-9001,IN,KD,Right Front Door Wiring Harness,ARNES PARA USO AUTOMOTRIZ,PZA,PZA,8544309901,85443099,1,5,Ex. Excepto: Arneses reconocibles como diseNados exclusivamente para uso automotriz.,1931R825050647,ARNES PARA USO AUTOMOTRIZ ARNES ARNES ELECTRICO ARNES DE CABLES 8544309901,,,1.5,Y,N,CF SALE MXHTS2025080004,26121800,,,,,,
940010-08572,A1,Equipo,igniter for burner,INICIADOR DE CHISPA,PZA,PZA,8511809900,85118099,0,10,Ex. ,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.2,Y,N,0,25174800,,,,,,
5HY0-041041-0K100,IN,KD,FRONT LH TOP COVER,PANEL FRONTAL IZQUIERDO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.36,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HY1-001001-02-Z,A1,HerramietasDeTrabajo,Headlamp panel pick-up fixture,DISPOSITIVO DE SUJECION (FIXTURE),PZA,PZA,8479899999,84798999,99,0,,,,,,10.4,Y,N,CF SALE MXHTS2025040014,25174800,,,,,,
5BYV-190406-1900-11,IN,KD,RH SIDE DOOR REAR UPPER DECAL, ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
6FIV-216000-7000,A1,Embalaje,Complete Vehicle Dust Cover I,BOLSA DE PLASTICO,PZA,KG,3923299199,39232991,99,0,,,,,,0.09,Y,N,CF SALE MXHTS2025110028,,e1 2 e 2a e a,plastic,Plastic,vehicle protection,Vehicle Protection,two wheeler
